loc,cases,deaths,date,Region,year
#adm2+name,#affected+infected,#affected+killed,#date,#region,#year
ALBAY,0,0,03/01/2021,REGION V-BICOL REGION,2021
ALBAY,0,0,10/01/2021,REGION V-BICOL REGION,2021
ANGELES CITY,19,0,03/01/2021,REGION III-CENTRAL LUZON,2021
ANGELES CITY,11,1,10/01/2021,REGION III-CENTRAL LUZON,2021
AURORA,1,0,03/01/2021,REGION III-CENTRAL LUZON,2021
AURORA,1,0,10/01/2021,REGION III-CENTRAL LUZON,2021
BATAAN,21,0,03/01/2021,REGION III-CENTRAL LUZON,2021
BATAAN,8,0,10/01/2021,REGION III-CENTRAL LUZON,2021
BATANES,0,0,03/01/2021,Region II-CAGAYAN VALLEY,2021
BATANES,0,0,10/01/2021,Region II-CAGAYAN VALLEY,2021
BATANGAS,11,0,03/01/2021,REGION IV-A-CALABARZON,2021
BATANGAS,9,0,10/01/2021,REGION IV-A-CALABARZON,2021
BULACAN,74,1,03/01/2021,REGION III-CENTRAL LUZON,2021
BULACAN,37,0,10/01/2021,REGION III-CENTRAL LUZON,2021
CAGAYAN,3,0,03/01/2021,Region II-CAGAYAN VALLEY,2021
CAGAYAN,1,0,10/01/2021,Region II-CAGAYAN VALLEY,2021
CAMARINES NORTE,0,0,03/01/2021,REGION V-BICOL REGION,2021
CAMARINES NORTE,0,0,10/01/2021,REGION V-BICOL REGION,2021
CAMARINES SUR,5,0,03/01/2021,REGION V-BICOL REGION,2021
CAMARINES SUR,8,0,10/01/2021,REGION V-BICOL REGION,2021
CATANDUANES,2,0,03/01/2021,REGION V-BICOL REGION,2021
CATANDUANES,2,0,10/01/2021,REGION V-BICOL REGION,2021
CAVITE,47,1,03/01/2021,REGION IV-A-CALABARZON,2021
CAVITE,31,0,10/01/2021,REGION IV-A-CALABARZON,2021
DAGUPAN CITY,6,0,03/01/2021,Region I-ILOCOS REGION,2021
DAGUPAN CITY,0,0,10/01/2021,Region I-ILOCOS REGION,2021
ILOCOS NORTE,2,0,03/01/2021,Region I-ILOCOS REGION,2021
ILOCOS NORTE,1,0,10/01/2021,Region I-ILOCOS REGION,2021
ILOCOS SUR,57,0,03/01/2021,Region I-ILOCOS REGION,2021
ILOCOS SUR,15,0,10/01/2021,Region I-ILOCOS REGION,2021
ISABELA,2,0,03/01/2021,Region II-CAGAYAN VALLEY,2021
ISABELA,1,0,10/01/2021,Region II-CAGAYAN VALLEY,2021
LA UNION,2,0,03/01/2021,Region I-ILOCOS REGION,2021
LA UNION,0,0,10/01/2021,Region I-ILOCOS REGION,2021
LAGUNA,15,0,03/01/2021,REGION IV-A-CALABARZON,2021
LAGUNA,21,0,10/01/2021,REGION IV-A-CALABARZON,2021
LUCENA CITY,0,0,03/01/2021,REGION IV-A-CALABARZON,2021
